ensembl_gene_id,go_id,description,name_1006,namespace_1003
LOC410603,GO:0007165,"odorant receptor 65a, transcript variant X1",signal transduction,biological_process
LOC410603,GO:0050896,"odorant receptor 65a, transcript variant X1",response to stimulus,biological_process
LOC410603,GO:0050911,"odorant receptor 65a, transcript variant X1",detection of chemical stimulus involved in sensory perception of smell,biological_process
LOC551128,GO:0005524,26S proteasome regulatory subunit 4,ATP binding,molecular_function
LOC551128,GO:0005737,26S proteasome regulatory subunit 4,cytoplasm,cellular_component
LOC551128,GO:0030163,26S proteasome regulatory subunit 4,protein catabolic process,biological_process
LOC551128,GO:0036402,26S proteasome regulatory subunit 4,proteasome-activating ATPase activity,molecular_function
LOC551128,GO:0016787,26S proteasome regulatory subunit 4,hydrolase activity,molecular_function
LOC551128,GO:0016887,26S proteasome regulatory subunit 4,ATPase activity,molecular_function
LOC551128,GO:0000166,26S proteasome regulatory subunit 4,nucleotide binding,molecular_function
LOC551128,GO:0000502,26S proteasome regulatory subunit 4,proteasome complex,cellular_component
LOC551128,GO:1901800,26S proteasome regulatory subunit 4,positive regulation of proteasomal protein catabolic process,biological_process
LOC100578586,GO:0016021,mediator of RNA polymerase II transcription subunit 15,integral component of membrane,cellular_component
LOC100578586,GO:0016020,mediator of RNA polymerase II transcription subunit 15,membrane,cellular_component
LOC100578725,GO:0005737,uncharacterized LOC100578725,cytoplasm,cellular_component
LOC100578725,GO:0043066,uncharacterized LOC100578725,negative regulation of apoptotic process,biological_process
LOC100578725,GO:0071986,uncharacterized LOC100578725,Ragulator complex,cellular_component
LOC100578725,GO:0043154,uncharacterized LOC100578725,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,biological_process
LOC100578725,GO:0005764,uncharacterized LOC100578725,lysosome,cellular_component
LOC100577797,GO:0016021,small integral membrane protein 8,integral component of membrane,cellular_component
LOC100577797,GO:0016020,small integral membrane protein 8,membrane,cellular_component
LOC551871,GO:0016021,P protein,integral component of membrane,cellular_component
LOC551871,GO:0055085,P protein,transmembrane transport,biological_process
LOC551871,GO:0016020,P protein,membrane,cellular_component
LOC100576797,GO:0006629,"acyl-CoA Delta(11) desaturase, transcript variant X2",lipid metabolic process,biological_process
LOC100576797,GO:0055114,"acyl-CoA Delta(11) desaturase, transcript variant X2",oxidation-reduction process,biological_process
LOC100576797,GO:0016717,"acyl-CoA Delta(11) desaturase, transcript variant X2","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",molecular_function
LOC100576797,GO:0016020,"acyl-CoA Delta(11) desaturase, transcript variant X2",membrane,cellular_component
LOC100576797,GO:0016021,"acyl-CoA Delta(11) desaturase, transcript variant X2",integral component of membrane,cellular_component
LOC100576797,GO:0046872,"acyl-CoA Delta(11) desaturase, transcript variant X2",metal ion binding,molecular_function
LOC100576797,GO:0016491,"acyl-CoA Delta(11) desaturase, transcript variant X2",oxidoreductase activity,molecular_function
LOC100576797,GO:0006633,"acyl-CoA Delta(11) desaturase, transcript variant X2",fatty acid biosynthetic process,biological_process
LOC100576797,GO:0006631,"acyl-CoA Delta(11) desaturase, transcript variant X2",fatty acid metabolic process,biological_process
LOC100576797,GO:0004768,"acyl-CoA Delta(11) desaturase, transcript variant X2",stearoyl-CoA 9-desaturase activity,molecular_function
LOC100576797,GO:0006636,"acyl-CoA Delta(11) desaturase, transcript variant X2",unsaturated fatty acid biosynthetic process,biological_process
LOC413755,GO:0005515,"attractin, transcript variant X1",protein binding,molecular_function
LOC413755,GO:0016020,"attractin, transcript variant X1",membrane,cellular_component
LOC413755,GO:0016021,"attractin, transcript variant X1",integral component of membrane,cellular_component
LOC413755,GO:0005509,"attractin, transcript variant X1",calcium ion binding,molecular_function
LOC100578888,GO:0005634,zinc finger protein 808,nucleus,cellular_component
LOC100578888,GO:0008270,zinc finger protein 808,zinc ion binding,molecular_function
LOC100578888,GO:0046872,zinc finger protein 808,metal ion binding,molecular_function
LOC725251,GO:0005634,"101 kDa malaria antigen, transcript variant X2",nucleus,cellular_component
LOC725251,GO:0008270,"101 kDa malaria antigen, transcript variant X2",zinc ion binding,molecular_function
LOC725251,GO:0046872,"101 kDa malaria antigen, transcript variant X2",metal ion binding,molecular_function
LOC411589,GO:0005524,structural maintenance of chromosomes protein 1A,ATP binding,molecular_function
LOC411589,GO:0005634,structural maintenance of chromosomes protein 1A,nucleus,cellular_component
LOC411589,GO:0003682,structural maintenance of chromosomes protein 1A,chromatin binding,molecular_function
LOC411589,GO:0006281,structural maintenance of chromosomes protein 1A,DNA repair,biological_process
LOC411589,GO:0007064,structural maintenance of chromosomes protein 1A,mitotic sister chromatid cohesion,biological_process
LOC411589,GO:0008278,structural maintenance of chromosomes protein 1A,cohesin complex,cellular_component
LOC411589,GO:0005694,structural maintenance of chromosomes protein 1A,chromosome,cellular_component
LOC411589,GO:0051276,structural maintenance of chromosomes protein 1A,chromosome organization,biological_process
LOC411589,GO:0005515,structural maintenance of chromosomes protein 1A,protein binding,molecular_function
LOC100576272,GO:0000213,tRNA-splicing endonuclease subunit Sen34,tRNA-intron endonuclease activity,molecular_function
LOC100576272,GO:0000214,tRNA-splicing endonuclease subunit Sen34,tRNA-intron endonuclease complex,cellular_component
LOC100576272,GO:0000379,tRNA-splicing endonuclease subunit Sen34,tRNA-type intron splice site recognition and cleavage,biological_process
LOC100576272,GO:0016829,tRNA-splicing endonuclease subunit Sen34,lyase activity,molecular_function
LOC100576272,GO:0003676,tRNA-splicing endonuclease subunit Sen34,nucleic acid binding,molecular_function
LOC100576272,GO:0006388,tRNA-splicing endonuclease subunit Sen34,"tRNA splicing, via endonucleolytic cleavage and ligation",biological_process
LOC100576272,GO:0004518,tRNA-splicing endonuclease subunit Sen34,nuclease activity,molecular_function
LOC100576272,GO:0006397,tRNA-splicing endonuclease subunit Sen34,mRNA processing,biological_process
LOC100576272,GO:0008033,tRNA-splicing endonuclease subunit Sen34,tRNA processing,biological_process
LOC100576272,GO:0090305,tRNA-splicing endonuclease subunit Sen34,nucleic acid phosphodiester bond hydrolysis,biological_process
LOC100576272,GO:0090502,tRNA-splicing endonuclease subunit Sen34,"RNA phosphodiester bond hydrolysis, endonucleolytic",biological_process
LOC100576272,GO:0090501,tRNA-splicing endonuclease subunit Sen34,RNA phosphodiester bond hydrolysis,biological_process
LOC100577995,GO:0003682,"uncharacterized LOC100577995, transcript variant X7",chromatin binding,molecular_function
LOC552063,GO:0008270,"E3 ubiquitin-protein ligase MARCH5, transcript variant X2",zinc ion binding,molecular_function
LOC552063,GO:0016020,"E3 ubiquitin-protein ligase MARCH5, transcript variant X2",membrane,cellular_component
LOC552063,GO:0016021,"E3 ubiquitin-protein ligase MARCH5, transcript variant X2",integral component of membrane,cellular_component
LOC410878,GO:0003824,"epoxide hydrolase 4, transcript variant X1",catalytic activity,molecular_function
LOC410878,GO:0016021,"epoxide hydrolase 4, transcript variant X1",integral component of membrane,cellular_component
LOC410878,GO:0016020,"epoxide hydrolase 4, transcript variant X1",membrane,cellular_component
LOC413573,GO:0046872,"set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4",metal ion binding,molecular_function
LOC413573,GO:0048188,"set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4",Set1C/COMPASS complex,cellular_component
LOC413573,GO:0051568,"set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4",histone H3-K4 methylation,biological_process
LOC413573,GO:0005515,"set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4",protein binding,molecular_function
LOC413573,GO:0005634,"set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4",nucleus,cellular_component
LOC551834,GO:0005525,large subunit GTPase 1 homolog,GTP binding,molecular_function
LOC551834,GO:0003924,large subunit GTPase 1 homolog,GTPase activity,molecular_function
LOC551834,GO:0000166,large subunit GTPase 1 homolog,nucleotide binding,molecular_function
LOC727596,GO:0030246,"malectin, transcript variant X2",carbohydrate binding,molecular_function
LOC727596,GO:0016020,"malectin, transcript variant X2",membrane,cellular_component
LOC727596,GO:0016021,"malectin, transcript variant X2",integral component of membrane,cellular_component
LOC727596,GO:0005783,"malectin, transcript variant X2",endoplasmic reticulum,cellular_component
LOC727596,GO:0005789,"malectin, transcript variant X2",endoplasmic reticulum membrane,cellular_component
LOC551125,GO:0005840,40S ribosomal protein S15Aa,ribosome,cellular_component
LOC551125,GO:0003735,40S ribosomal protein S15Aa,structural constituent of ribosome,molecular_function
LOC551125,GO:0006412,40S ribosomal protein S15Aa,translation,biological_process
LOC102653881,GO:0055114,"glucose dehydrogenase [FAD, quinone]-like",oxidation-reduction process,biological_process
LOC102653881,GO:0016614,"glucose dehydrogenase [FAD, quinone]-like","oxidoreductase activity, acting on CH-OH group of donors",molecular_function
LOC102653881,GO:0050660,"glucose dehydrogenase [FAD, quinone]-like",flavin adenine dinucleotide binding,molecular_function
LOC410402,GO:0004252,"serine proteinase stubble, transcript variant X6",serine-type endopeptidase activity,molecular_function
LOC410402,GO:0006508,"serine proteinase stubble, transcript variant X6",proteolysis,biological_process
LOC410402,GO:0016787,"serine proteinase stubble, transcript variant X6",hydrolase activity,molecular_function
LOC410402,GO:0008233,"serine proteinase stubble, transcript variant X6",peptidase activity,molecular_function
LOC410402,GO:0008236,"serine proteinase stubble, transcript variant X6",serine-type peptidase activity,molecular_function
LOC727205,GO:0000127,general transcription factor 3C polypeptide 5,transcription factor TFIIIC complex,cellular_component
LOC727205,GO:0006384,general transcription factor 3C polypeptide 5,transcription initiation from RNA polymerase III promoter,biological_process
LOC727205,GO:0005634,general transcription factor 3C polypeptide 5,nucleus,cellular_component
LOC727205,GO:0003677,general transcription factor 3C polypeptide 5,DNA binding,molecular_function
LOC100576703,GO:0005525,"sarcalumenin, transcript variant X6",GTP binding,molecular_function
LOC726461,GO:0005515,"protein shank, transcript variant X7",protein binding,molecular_function
LOC100576864,GO:0007099,"myosin-2 heavy chain, transcript variant X2",centriole replication,biological_process
LOC100576864,GO:1902017,"myosin-2 heavy chain, transcript variant X2",regulation of cilium assembly,biological_process
LOC413675,GO:0006406,nuclear pore complex protein Nup107,mRNA export from nucleus,biological_process
LOC413675,GO:0006606,nuclear pore complex protein Nup107,protein import into nucleus,biological_process
LOC413675,GO:0017056,nuclear pore complex protein Nup107,structural constituent of nuclear pore,molecular_function
LOC413675,GO:0031080,nuclear pore complex protein Nup107,nuclear pore outer ring,cellular_component
LOC413675,GO:0031965,nuclear pore complex protein Nup107,nuclear membrane,cellular_component
LOC413675,GO:0005643,nuclear pore complex protein Nup107,nuclear pore,cellular_component
LOC413675,GO:0005634,nuclear pore complex protein Nup107,nucleus,cellular_component
LOC413675,GO:0016020,nuclear pore complex protein Nup107,membrane,cellular_component
LOC413675,GO:0015031,nuclear pore complex protein Nup107,protein transport,biological_process
LOC413675,GO:0051028,nuclear pore complex protein Nup107,mRNA transport,biological_process
LOC725679,GO:0003676,"sex-lethal homolog, transcript variant X6",nucleic acid binding,molecular_function
LOC725679,GO:0003723,"sex-lethal homolog, transcript variant X6",RNA binding,molecular_function
LOC725679,GO:1990904,"sex-lethal homolog, transcript variant X6",ribonucleoprotein complex,cellular_component
LOC113218895,GO:0006450,"glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",regulation of translational fidelity,biological_process
LOC552642,GO:0005524,DNA replication licensing factor Mcm3,ATP binding,molecular_function
LOC552642,GO:0003677,DNA replication licensing factor Mcm3,DNA binding,molecular_function
LOC552642,GO:0042555,DNA replication licensing factor Mcm3,MCM complex,cellular_component
LOC552642,GO:0006270,DNA replication licensing factor Mcm3,DNA replication initiation,biological_process
LOC552642,GO:0003678,DNA replication licensing factor Mcm3,DNA helicase activity,molecular_function
LOC552642,GO:0032508,DNA replication licensing factor Mcm3,DNA duplex unwinding,biological_process
LOC552642,GO:0000166,DNA replication licensing factor Mcm3,nucleotide binding,molecular_function
LOC552642,GO:0004386,DNA replication licensing factor Mcm3,helicase activity,molecular_function
LOC552642,GO:0016787,DNA replication licensing factor Mcm3,hydrolase activity,molecular_function
GeneID_406112,GO:0006355,period circadian protein,"regulation of transcription, DNA-templated",biological_process
GeneID_406112,GO:0005634,period circadian protein,nucleus,cellular_component
LOC410538,GO:0016021,"probable C-mannosyltransferase DPY19L1, transcript variant X5",integral component of membrane,cellular_component
LOC410538,GO:0000030,"probable C-mannosyltransferase DPY19L1, transcript variant X5",mannosyltransferase activity,molecular_function
LOC410538,GO:0016020,"probable C-mannosyltransferase DPY19L1, transcript variant X5",membrane,cellular_component
LOC410538,GO:0097502,"probable C-mannosyltransferase DPY19L1, transcript variant X5",mannosylation,biological_process
LOC412361,GO:0008289,"START domain-containing protein 10, transcript variant X1",lipid binding,molecular_function
LOC100578811,GO:0016020,transmembrane protein 223,membrane,cellular_component
LOC100578811,GO:0016021,transmembrane protein 223,integral component of membrane,cellular_component
LOC552081,GO:0005509,"calcium uptake protein 1 homolog, mitochondrial, transcript variant X2",calcium ion binding,molecular_function
LOC552081,GO:0006851,"calcium uptake protein 1 homolog, mitochondrial, transcript variant X2",mitochondrial calcium ion transmembrane transport,biological_process
LOC552081,GO:0016020,"calcium uptake protein 1 homolog, mitochondrial, transcript variant X2",membrane,cellular_component
LOC552081,GO:0016021,"calcium uptake protein 1 homolog, mitochondrial, transcript variant X2",integral component of membrane,cellular_component
LOC409124,GO:0005576,"twisted gastrulation protein homolog 1-A, transcript variant X3",extracellular region,cellular_component
LOC100576746,GO:0016021,"uncharacterized LOC100576746, transcript variant X3",integral component of membrane,cellular_component
LOC100576746,GO:0004930,"uncharacterized LOC100576746, transcript variant X3",G protein-coupled receptor activity,molecular_function
LOC100576746,GO:0007186,"uncharacterized LOC100576746, transcript variant X3",G protein-coupled receptor signaling pathway,biological_process
LOC100576746,GO:0016020,"uncharacterized LOC100576746, transcript variant X3",membrane,cellular_component
LOC413053,GO:0005515,serine-threonine kinase receptor-associated protein,protein binding,molecular_function
LOC724629,GO:0005840,40S ribosomal protein S28,ribosome,cellular_component
LOC724629,GO:0003735,40S ribosomal protein S28,structural constituent of ribosome,molecular_function
LOC724629,GO:0006412,40S ribosomal protein S28,translation,biological_process
LOC410227,GO:0016491,"inactive hydroxysteroid dehydrogenase-like protein 1, transcript variant X1",oxidoreductase activity,molecular_function
LOC410227,GO:0055114,"inactive hydroxysteroid dehydrogenase-like protein 1, transcript variant X1",oxidation-reduction process,biological_process
LOC410227,GO:0016020,"inactive hydroxysteroid dehydrogenase-like protein 1, transcript variant X1",membrane,cellular_component
LOC410227,GO:0016021,"inactive hydroxysteroid dehydrogenase-like protein 1, transcript variant X1",integral component of membrane,cellular_component
LOC551708,GO:0006886,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",intracellular protein transport,biological_process
LOC551708,GO:0030897,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",HOPS complex,cellular_component
LOC551708,GO:0035542,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",regulation of SNARE complex assembly,biological_process
LOC551708,GO:0042144,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3","vacuole fusion, non-autophagic",biological_process
LOC551708,GO:0005764,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",lysosome,cellular_component
LOC551708,GO:0005769,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",early endosome,cellular_component
LOC551708,GO:0005770,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",late endosome,cellular_component
LOC551708,GO:0005794,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",Golgi apparatus,cellular_component
LOC551708,GO:0010008,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",endosome membrane,cellular_component
LOC551708,GO:0030136,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",clathrin-coated vesicle,cellular_component
LOC551708,GO:0016192,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",vesicle-mediated transport,biological_process
LOC551708,GO:0046907,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",intracellular transport,biological_process
LOC551708,GO:0005515,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",protein binding,molecular_function
LOC551708,GO:0015031,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",protein transport,biological_process
LOC551708,GO:0046872,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",metal ion binding,molecular_function
LOC551708,GO:0031410,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",cytoplasmic vesicle,cellular_component
LOC551708,GO:0005768,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",endosome,cellular_component
LOC551708,GO:0005773,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",vacuole,cellular_component
LOC551708,GO:0007034,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",vacuolar transport,biological_process
LOC551708,GO:0034058,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3",endosomal vesicle fusion,biological_process
LOC725357,GO:0005761,"uncharacterized LOC725357, transcript variant X3",mitochondrial ribosome,cellular_component
LOC725357,GO:0032543,"uncharacterized LOC725357, transcript variant X3",mitochondrial translation,biological_process
LOC113219034,GO:0016020,putative uncharacterized protein DDB_G0282133,membrane,cellular_component
LOC113219034,GO:0016021,putative uncharacterized protein DDB_G0282133,integral component of membrane,cellular_component
LOC413689,GO:0016021,solute carrier family 12 member 8,integral component of membrane,cellular_component
LOC413689,GO:0055085,solute carrier family 12 member 8,transmembrane transport,biological_process
LOC413689,GO:0016020,solute carrier family 12 member 8,membrane,cellular_component
LOC411335,GO:0016021,transmembrane protein 199,integral component of membrane,cellular_component
LOC411335,GO:0070072,transmembrane protein 199,vacuolar proton-transporting V-type ATPase complex assembly,biological_process
LOC411335,GO:0016020,transmembrane protein 199,membrane,cellular_component
LOC411335,GO:0005783,transmembrane protein 199,endoplasmic reticulum,cellular_component
LOC411335,GO:0005789,transmembrane protein 199,endoplasmic reticulum membrane,cellular_component
LOC412690,GO:0016021,probable palmitoyltransferase Zdhhc6,integral component of membrane,cellular_component
LOC412690,GO:0019706,probable palmitoyltransferase Zdhhc6,protein-cysteine S-palmitoyltransferase activity,molecular_function
LOC412690,GO:0016409,probable palmitoyltransferase Zdhhc6,palmitoyltransferase activity,molecular_function
LOC412690,GO:0016020,probable palmitoyltransferase Zdhhc6,membrane,cellular_component
LOC412690,GO:0016740,probable palmitoyltransferase Zdhhc6,transferase activity,molecular_function
LOC412690,GO:0016746,probable palmitoyltransferase Zdhhc6,"transferase activity, transferring acyl groups",molecular_function
LOC412690,GO:0018215,probable palmitoyltransferase Zdhhc6,protein phosphopantetheinylation,biological_process
LOC412739,GO:0005886,roundabout homolog 2,plasma membrane,cellular_component
LOC412739,GO:0007155,roundabout homolog 2,cell adhesion,biological_process
LOC412739,GO:0007411,roundabout homolog 2,axon guidance,biological_process
LOC412739,GO:0005515,roundabout homolog 2,protein binding,molecular_function
LOC412739,GO:0016020,roundabout homolog 2,membrane,cellular_component
LOC412739,GO:0016021,roundabout homolog 2,integral component of membrane,cellular_component
LOC412739,GO:0007399,roundabout homolog 2,nervous system development,biological_process
LOC413660,GO:0005524,ATP-dependent RNA helicase DDX54,ATP binding,molecular_function
LOC413660,GO:0005634,ATP-dependent RNA helicase DDX54,nucleus,cellular_component
LOC413660,GO:0003676,ATP-dependent RNA helicase DDX54,nucleic acid binding,molecular_function
LOC413660,GO:0003723,ATP-dependent RNA helicase DDX54,RNA binding,molecular_function
LOC413660,GO:0005730,ATP-dependent RNA helicase DDX54,nucleolus,cellular_component
LOC413660,GO:0003724,ATP-dependent RNA helicase DDX54,RNA helicase activity,molecular_function
LOC413660,GO:0004386,ATP-dependent RNA helicase DDX54,helicase activity,molecular_function
LOC413660,GO:0000166,ATP-dependent RNA helicase DDX54,nucleotide binding,molecular_function
LOC413660,GO:0016787,ATP-dependent RNA helicase DDX54,hydrolase activity,molecular_function
LOC727271,GO:0005739,"fatty-acid amide hydrolase 2-A, transcript variant X2",mitochondrion,cellular_component
LOC551188,GO:0046982,"ankyrin repeat and BTB/POZ domain-containing protein BTBD11, transcript variant X3",protein heterodimerization activity,molecular_function
LOC551188,GO:0005515,"ankyrin repeat and BTB/POZ domain-containing protein BTBD11, transcript variant X3",protein binding,molecular_function
LOC413590,GO:0005506,alkylglycerol monooxygenase,iron ion binding,molecular_function
LOC413590,GO:0016491,alkylglycerol monooxygenase,oxidoreductase activity,molecular_function
LOC413590,GO:0055114,alkylglycerol monooxygenase,oxidation-reduction process,biological_process
LOC413590,GO:0008610,alkylglycerol monooxygenase,lipid biosynthetic process,biological_process
LOC413590,GO:0016020,alkylglycerol monooxygenase,membrane,cellular_component
LOC413590,GO:0016021,alkylglycerol monooxygenase,integral component of membrane,cellular_component
GeneID_100191002,GO:0005840,ribosomal protein L41,ribosome,cellular_component
GeneID_100191002,GO:0003735,ribosomal protein L41,structural constituent of ribosome,molecular_function
GeneID_100191002,GO:0006412,ribosomal protein L41,translation,biological_process
LOC725999,GO:0016020,"uncharacterized LOC725999, transcript variant X4",membrane,cellular_component
LOC725999,GO:0016021,"uncharacterized LOC725999, transcript variant X4",integral component of membrane,cellular_component
LOC409313,GO:0005524,"actin-related protein 2, transcript variant X1",ATP binding,molecular_function
LOC409313,GO:0005885,"actin-related protein 2, transcript variant X1",Arp2/3 protein complex,cellular_component
LOC409313,GO:0034314,"actin-related protein 2, transcript variant X1",Arp2/3 complex-mediated actin nucleation,biological_process
LOC409313,GO:0007015,"actin-related protein 2, transcript variant X1",actin filament organization,biological_process
LOC409313,GO:0005856,"actin-related protein 2, transcript variant X1",cytoskeleton,cellular_component
LOC409313,GO:0003779,"actin-related protein 2, transcript variant X1",actin binding,molecular_function
LOC409313,GO:0005737,"actin-related protein 2, transcript variant X1",cytoplasm,cellular_component
LOC409313,GO:0000166,"actin-related protein 2, transcript variant X1",nucleotide binding,molecular_function
LOC410534,GO:0005524,uncharacterized LOC410534,ATP binding,molecular_function
LOC410534,GO:0005634,uncharacterized LOC410534,nucleus,cellular_component
LOC410534,GO:0003677,uncharacterized LOC410534,DNA binding,molecular_function
LOC410534,GO:0006355,uncharacterized LOC410534,"regulation of transcription, DNA-templated",biological_process
LOC410534,GO:0003700,uncharacterized LOC410534,DNA-binding transcription factor activity,molecular_function
LOC725134,GO:0005737,"nuclear RNA export factor 1, transcript variant X2",cytoplasm,cellular_component
LOC725134,GO:0005634,"nuclear RNA export factor 1, transcript variant X2",nucleus,cellular_component
LOC725134,GO:0003676,"nuclear RNA export factor 1, transcript variant X2",nucleic acid binding,molecular_function
LOC725134,GO:0006406,"nuclear RNA export factor 1, transcript variant X2",mRNA export from nucleus,biological_process
LOC725134,GO:0003723,"nuclear RNA export factor 1, transcript variant X2",RNA binding,molecular_function
LOC725134,GO:0042025,"nuclear RNA export factor 1, transcript variant X2",host cell nucleus,cellular_component
LOC725134,GO:0051028,"nuclear RNA export factor 1, transcript variant X2",mRNA transport,biological_process
LOC725134,GO:0005515,"nuclear RNA export factor 1, transcript variant X2",protein binding,molecular_function
LOC725134,GO:0005654,"nuclear RNA export factor 1, transcript variant X2",nucleoplasm,cellular_component
GeneID_677676,GO:0005549,odorant binding protein 11,odorant binding,molecular_function
GeneID_677676,GO:0005576,odorant binding protein 11,extracellular region,cellular_component
GeneID_409469,GO:0005506,cytochrome P450 4G11,iron ion binding,molecular_function
GeneID_409469,GO:0016705,cytochrome P450 4G11,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",molecular_function
GeneID_409469,GO:0020037,cytochrome P450 4G11,heme binding,molecular_function
GeneID_409469,GO:0055114,cytochrome P450 4G11,oxidation-reduction process,biological_process
GeneID_409469,GO:0016021,cytochrome P450 4G11,integral component of membrane,cellular_component
GeneID_409469,GO:0004497,cytochrome P450 4G11,monooxygenase activity,molecular_function
GeneID_409469,GO:0016020,cytochrome P450 4G11,membrane,cellular_component
