ensembl_gene_id	description
LOC726320	serine protease inhibitor 27A, transcript variant X3
LOC102655862	uncharacterized LOC102655862, transcript variant X1
LOC725734	RNA-binding protein pno1
LOC552078	glutamyl aminopeptidase-like, transcript variant X2
LOC724179	ribosomal protein S6 kinase delta-1, transcript variant X1
LOC100577839	zinc finger protein 512B, transcript variant X1
LOC113218852	uncharacterized LOC113218852
LOC100577784	fanconi-associated nuclease 1, transcript variant X2
LOC551974	thioredoxin-like protein 4A, transcript variant X1
GeneID_100315665	microRNA 283
LOC107965094	uncharacterized LOC107965094
LOC408564	long-chain fatty acid transport protein 4, transcript variant X1
LOC100576383	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6
LOC100578260	WD repeat-containing protein 91, transcript variant X2
LOC107966088	uncharacterized LOC107966088
LOC100578107	uncharacterized LOC100578107
LOC552701	NAD-dependent protein deacylase sirtuin-5, mitochondrial
LOC726405	serine/threonine-protein kinase PAK mbt, transcript variant X2
LOC552709	polypyrimidine tract-binding protein 2, transcript variant X6
GeneID_807695	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]
LOC100577997	CAPA peptides, transcript variant X1
LOC725653	pseudouridine-5'-phosphatase, transcript variant X2
LOC102654759	uncharacterized LOC102654759, transcript variant X2
LOC102656439	adenosine deaminase 2
LOC551212	mediator of RNA polymerase II transcription subunit 16, transcript variant X1
LOC724932	xyloside xylosyltransferase 1
LOC107965752	uncharacterized LOC107965752
LOC100576161	uncharacterized LOC100576161
LOC100577603	POU domain protein CF1A
LOC102655072	microtubule-associated protein futsch-like, transcript variant X8
GeneID_732494	microRNA 125
LOC552289	RNA-binding protein 39, transcript variant X3
LOC411463	PH and SEC7 domain-containing protein 2, transcript variant X3
LOC107964819	uncharacterized LOC107964819
LOC552585	uncharacterized LOC552585
LOC724929	serine/threonine-protein kinase tricorner, transcript variant X9
LOC409455	doublesex- and mab-3-related transcription factor A2
LOC551501	fringe glycosyltransferase
LOC100577409	solute carrier organic anion transporter family member 3A1
GeneID_100578230	odorant receptor 115
LOC408809	diacylglycerol kinase theta, transcript variant X2
LOC113218694	5S ribosomal RNA
LOC100576758	uncharacterized LOC100576758
LOC107965672	uncharacterized LOC107965672
LOC551202	intraflagellar transport protein 52 homolog
LOC411881	peregrin, transcript variant X2
LOC409087	D-beta-hydroxybutyrate dehydrogenase, mitochondrial, transcript variant X1
LOC725880	small nuclear ribonucleoprotein F, transcript variant X1
LOC100577423	methyltransferase-like protein 4
GeneID_807696	ATP synthase subunit a [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT6]
GeneID_104794336	microRNA 6040
LOC107964154	uncharacterized LOC107964154
LOC408556	eukaryotic translation initiation factor 5B, transcript variant X1
LOC412027	histone-lysine N-methyltransferase PR-Set7
LOC413357	ubiquitin carboxyl-terminal hydrolase 31, transcript variant X2
LOC102654271	transcriptional regulator ATRX homolog
LOC551495	Bardet-Biedl syndrome 5 protein homolog
LOC102654461	uncharacterized LOC102654461
LOC107965256	uncharacterized LOC107965256
LOC727193	lipase member H-A
LOC411843	COP9 signalosome complex subunit 7b, transcript variant X4
LOC727539	lysocardiolipin acyltransferase 1
LOC726514	adenylate cyclase type 6, transcript variant X3
LOC552429	peroxiredoxin-5, mitochondrial
LOC409182	protein GDAP2 homolog
LOC100577293	uncharacterized LOC100577293
LOC107964493	uncharacterized LOC107964493
LOC102656291	coiled-coil domain-containing protein 115
LOC113218516	pollen-specific leucine-rich repeat extensin-like protein 2
LOC724915	Usher syndrome type-1G protein homolog, transcript variant X2
LOC100578529	zinc finger protein 701, transcript variant X2
LOC100576182	pupal cuticle protein G1A
LOC102656529	uncharacterized LOC102656529
LOC411044	inhibitor of growth protein 1
LOC551397	28S ribosomal protein S18a, mitochondrial
LOC725638	uncharacterized protein F58A4.6
LOC724635	tRNA:m(4)X modification enzyme TRM13 homolog
LOC100577749	uncharacterized LOC100577749
GeneID_104796174	microRNA 9888
LOC100576825	uncharacterized LOC100576825
LOC552049	protein DDI1 homolog 2, transcript variant X2
LOC411009	dachshund homolog 2, transcript variant X2
LOC725532	LIM/homeobox protein Awh, transcript variant X2
LOC412712	anaphase-promoting complex subunit 7, transcript variant X2
LOC409430	serine/threonine-protein phosphatase alpha-2 isoform
LOC410038	collagen alpha-1(I) chain
LOC552278	protein-tyrosine sulfotransferase, transcript variant X3
LOC413266	obg-like ATPase 1, transcript variant X4
LOC113218767	general odorant-binding protein 71
LOC410761	SKI family transcriptional corepressor 2, transcript variant X1
LOC102653955	protein NDUFAF4 homolog, transcript variant X1
LOC100577098	enolase-phosphatase E1, transcript variant X1
LOC412157	HEAT repeat-containing protein 5B, transcript variant X3
LOC409546	lachesin, transcript variant X1
LOC725230	histone H4
LOC724665	protein SET, transcript variant X2
LOC100577801	zinc finger protein ush, transcript variant X13
LOC724608	transient receptor potential, transcript variant X2
LOC551570	leucine-rich melanocyte differentiation-associated protein, transcript variant X2
LOC724538	probable ATP-dependent RNA helicase DDX52
LOC102655127	pentatricopeptide repeat-containing protein 1, mitochondrial
LOC102656534	uncharacterized LOC102656534, transcript variant X1
LOC113218688	5S ribosomal RNA
LOC551597	cysteine-rich venom protein, transcript variant X1
LOC551562	dynein beta chain, ciliary
LOC107964645	uncharacterized LOC107964645
LOC725904	trafficking protein particle complex subunit 6B
LOC100578428	lipid storage droplets surface-binding protein 2, transcript variant X1
LOC724357	uncharacterized LOC724357
GeneID_411659	troponin C type I
LOC113218715	uncharacterized LOC113218715
LOC102655275	uncharacterized LOC102655275, transcript variant X1
LOC726097	uncharacterized LOC726097, transcript variant X1
LOC113219040	uncharacterized LOC113219040
LOC113219231	uncharacterized LOC113219231
LOC413233	methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial
LOC725055	gamma-glutamylcyclotransferase
LOC725108	early nodulin-75, transcript variant X1
LOC413690	helicase SKI2W
LOC102656594	uncharacterized LOC102656594
GeneID_104794349	microRNA 6057
LOC725896	nucleoporin p58/p45, transcript variant X1
LOC102656652	vesicle-associated membrane protein 4-like, transcript variant X2
LOC551391	U1 small nuclear ribonucleoprotein 70 kDa, transcript variant X2
LOC408577	phosphatidylinositol 3-kinase regulatory subunit alpha, transcript variant X3
LOC411508	tubulin gamma-2 chain
LOC100578170	uncharacterized LOC100578170, transcript variant X1
LOC411140	putative aldehyde dehydrogenase family 7 member A1 homolog
LOC412924	protein ROP, transcript variant X1
GeneID_100629053	microRNA 3744
LOC411141	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial, transcript variant X5
LOC102655032	uncharacterized LOC102655032, transcript variant X2
LOC726681	formin-2
LOC413813	ubiquitin carboxyl-terminal hydrolase isozyme L5
LOC552104	bifunctional coenzyme A synthase
LOC412177	4-aminobutyrate aminotransferase, mitochondrial, transcript variant X1
LOC410162	ataxin-3, transcript variant X1
LOC410098	WD repeat and FYVE domain-containing protein 2
LOC408624	UHRF1-binding protein 1, transcript variant X5
LOC409099	E3 ubiquitin-protein ligase hyd, transcript variant X2
LOC727221	vacuolar protein sorting-associated protein 13C, transcript variant X2
LOC408761	uncharacterized LOC408761
LOC113218561	cytoplasmic dynein 2 heavy chain 1-like
LOC102653672	uncharacterized LOC102653672
LOC411572	ubiquitin carboxyl-terminal hydrolase 14
LOC409638	elongation of very long chain fatty acids protein AAEL008004, transcript variant X1
LOC100578223	succinate dehydrogenase assembly factor 4, mitochondrial, transcript variant X3
LOC102654728	uncharacterized LOC102654728, transcript variant X1
LOC410632	G protein-coupled receptor kinase 2, transcript variant X1
GeneID_412509	integrator complex subunit 8
LOC107964289	uncharacterized LOC107964289, transcript variant X1
LOC727280	uncharacterized LOC727280
LOC552384	COP9 signalosome complex subunit 3
LOC551893	prefoldin subunit 3
LOC727168	1,4-alpha-glucan-branching enzyme, transcript variant X1
LOC100578592	uncharacterized LOC100578592
GeneID_100628993	microRNA 11
LOC107966112	uncharacterized LOC107966112
LOC113219119	uncharacterized LOC113219119
LOC725401	U6 snRNA-associated Sm-like protein LSm3
LOC102655515	uncharacterized LOC102655515, transcript variant X2
LOC409751	multiple inositol polyphosphate phosphatase 1, transcript variant X2
LOC411071	dnaJ protein homolog 1
LOC725233	uncharacterized LOC725233
LOC409540	MOB kinase activator-like 1, transcript variant X1
LOC113219165	uncharacterized LOC113219165
LOC409897	probable multidrug resistance-associated protein lethal(2)03659, transcript variant X1
LOC727022	RNA polymerase II-associated protein 3
LOC102653778	uncharacterized LOC102653778
LOC552069	probable hydroxyacid-oxoacid transhydrogenase, mitochondrial
LOC411529	maternal embryonic leucine zipper kinase
LOC100579021	transmembrane protein 42
LOC100577039	arginine/serine-rich coiled-coil protein 2, transcript variant X1
LOC724327	C-factor, transcript variant X3
LOC100577896	heat shock factor 2-binding protein
LOC552741	26S proteasome complex subunit SEM1
LOC727055	28S ribosomal protein S31, mitochondrial
LOC411906	histone-lysine N-methyltransferase KMT5B-B-like
LOC724947	lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
LOC725118	tyrosine-protein phosphatase 69D
LOC551197	probable cytochrome P450 6a13
LOC409377	transitional endoplasmic reticulum ATPase TER94
LOC102656390	uncharacterized LOC102656390, transcript variant X2
LOC412731	type II inositol 1,4,5-trisphosphate 5-phosphatase, transcript variant X5
LOC408868	inositol monophosphatase 2, transcript variant X1
LOC100577963	charged multivesicular body protein 7
LOC551338	uncharacterized LOC551338, transcript variant X2
LOC552374	protein Wnt-1, transcript variant X4
GeneID_107964395	tRNA-Thr
LOC412367	39S ribosomal protein L15, mitochondrial
LOC725501	deoxyuridine 5'-triphosphate nucleotidohydrolase, transcript variant X3
LOC409078	uncharacterized LOC409078, transcript variant X1
LOC102654200	uncharacterized LOC102654200
LOC100577214	protein giant-lens
LOC725269	protein bark beetle
LOC102655442	uncharacterized LOC102655442, transcript variant X2
LOC410434	splicing factor 3B subunit 4
LOC408923	transcription initiation factor TFIID subunit 4, transcript variant X3
LOC725311	longitudinals lacking protein-like, transcript variant X1
LOC408328	elongation factor Tu, mitochondrial
LOC552202	monocarboxylate transporter 9, transcript variant X2
LOC113218974	uncharacterized LOC113218974, transcript variant X2
LOC726379	putative leucine-rich repeat-containing protein DDB_G0290503, transcript variant X2
LOC413491	nucleoside diphosphate-linked moiety X motif 19
LOC113218737	uncharacterized LOC113218737
LOC410726	putative E3 ubiquitin-protein ligase UBR7, transcript variant X1
LOC102656637	potassium channel GORK-like
LOC412002	E3 ubiquitin-protein ligase Ubr3, transcript variant X3
LOC724790	39S ribosomal protein L41, mitochondrial
LOC551418	60S ribosomal protein L13a
LOC100578776	uncharacterized LOC100578776, transcript variant X1
LOC102656333	uncharacterized LOC102656333
LOC411725	tektin-3
LOC113218849	uncharacterized LOC113218849
LOC409594	dnaJ homolog dnj-5
LOC410315	G-protein-signaling modulator 2
LOC412272	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3
LOC727071	acylglycerol kinase, mitochondrial
LOC100578479	DNA polymerase delta subunit 3, transcript variant X1
LOC552601	lys-63-specific deubiquitinase BRCC36, transcript variant X1
LOC551825	nuclear hormone receptor HR96, transcript variant X2
LOC411217	protein PFF0380w
LOC725543	chaoptin, transcript variant X3
LOC413280	acidic leucine-rich nuclear phosphoprotein 32 family member A, transcript variant X2
LOC550901	protein phosphatase methylesterase 1
LOC408358	RB1-inducible coiled-coil protein 1, transcript variant X5
LOC551066	putative uncharacterized protein DDB_G0274405, transcript variant X2
LOC408532	myophilin
LOC551158	28S ribosomal protein S17, mitochondrial
LOC100578429	centrosomal protein of 152 kDa, transcript variant X1
LOC413925	uncharacterized LOC413925, transcript variant X6
LOC107964590	uncharacterized LOC107964590, transcript variant X2
LOC412620	solute carrier family 17 member 9, transcript variant X1
LOC408796	vacuolar protein sorting-associated protein 35, transcript variant X3
LOC552497	roquin-1, transcript variant X1
LOC551762	S-adenosylhomocysteine hydrolase-like protein 1, transcript variant X3
LOC102656570	glucose dehydrogenase [FAD, quinone]
LOC724688	biogenesis of lysosome-related organelles complex 1 subunit 6
LOC100577257	uncharacterized LOC100577257, transcript variant X1
LOC551373	ectonucleoside triphosphate diphosphohydrolase 5, transcript variant X2
LOC412984	39S ribosomal protein S30, mitochondrial
LOC100578826	protein strawberry notch-like
LOC725581	band 3 anion transport protein, transcript variant X3
LOC726597	zinc finger protein 729
LOC113219254	uncharacterized LOC113219254
LOC413583	uncharacterized LOC413583, transcript variant X2
LOC727392	endocuticle structural glycoprotein SgAbd-2, transcript variant X2
LOC724638	H/ACA ribonucleoprotein complex subunit 3
LOC724521	uncharacterized LOC724521
LOC726043	leucine-rich repeat-containing protein 57
LOC552554	RNA 3'-terminal phosphate cyclase, transcript variant X1
LOC102654683	farnesyl pyrophosphate synthase
LOC100577546	C1GALT1-specific chaperone 1-like protein
LOC726496	protein lin-37 homolog, transcript variant X2
LOC408621	ER membrane protein complex subunit 7
LOC113219297	uncharacterized LOC113219297
LOC551554	ras-related protein Rac1
LOC551709	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1, transcript variant X3
LOC113218534	GDP-fucose protein O-fucosyltransferase 2
LOC552053	protein N-lysine methyltransferase FAM173B
GeneID_104796166	microRNA 9878
LOC100578628	NADH--cytochrome b5 reductase 1, transcript variant X2
LOC410286	probable tRNA (uracil-O(2)-)-methyltransferase, transcript variant X1
LOC724301	paired mesoderm homeobox protein 2-like, transcript variant X2
LOC102656292	uncharacterized LOC102656292, transcript variant X3
LOC410489	myosin-IIIb, transcript variant X1
LOC552640	ammonium transporter 1-like
LOC107965375	uncharacterized LOC107965375
LOC102653738	uncharacterized LOC102653738
LOC409323	uncharacterized LOC409323
LOC552169	DNA repair and recombination protein RAD54B, transcript variant X1
LOC100578281	rab3 GTPase-activating protein non-catalytic subunit, transcript variant X2
LOC100577651	three prime repair exonuclease 2, transcript variant X3
GeneID_100302584	immune deficiency
LOC102655097	distal membrane-arm assembly complex protein 2
LOC412993	glutamate receptor ionotropic, kainate 2, transcript variant X6
LOC102656085	uncharacterized LOC102656085, transcript variant X5
LOC100578126	zinc finger protein 26-like, transcript variant X4
LOC552005	uncharacterized LOC552005, transcript variant X2
GeneID_727204	cuticular protein 4
LOC727520	uncharacterized LOC727520
LOC725588	uncharacterized LOC725588
LOC107964467	uncharacterized LOC107964467
LOC100578484	uncharacterized LOC100578484
GeneID_100629063	microRNA 3753
LOC100577885	uncharacterized LOC100577885
LOC102656429	Roc2 protein, transcript variant X1
LOC411193	nuclear transcription factor Y subunit B-1, transcript variant X1
LOC408952	oxysterol-binding protein 1, transcript variant X6
LOC113218624	uncharacterized LOC113218624
LOC552058	uncharacterized LOC552058, transcript variant X2
LOC727210	single-stranded DNA-binding protein, mitochondrial
LOC409881	myosin regulatory light chain 2
LOC411802	biorientation of chromosomes in cell division protein 1-like 1, transcript variant X2
LOC409456	AT-rich interactive domain-containing protein 4B, transcript variant X2
LOC100576947	meiosis-specific with OB domain-containing protein
LOC113218685	5S ribosomal RNA
LOC409727	kinesin 13, transcript variant X2
LOC412985	guanine nucleotide-binding protein-like 1
LOC411106	3'(2'),5'-bisphosphate nucleotidase 1, transcript variant X4
LOC725982	vacuolar protein sorting-associated protein 54, transcript variant X1
LOC551303	hexosaminidase D
LOC100577094	uncharacterized LOC100577094
LOC408845	protein unc-79 homolog, transcript variant X2
LOC409937	neither inactivation nor afterpotential protein C, transcript variant X1
LOC102656087	uncharacterized LOC102656087
LOC102656448	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
LOC411581	phosphopantothenate--cysteine ligase
LOC725682	uncharacterized LOC725682, transcript variant X1
LOC100577605	uncharacterized LOC100577605
LOC725720	muscle, skeletal receptor tyrosine protein kinase, transcript variant X2
LOC551550	probable 26S proteasome non-ATPase regulatory subunit 3
LOC102655635	uncharacterized LOC102655635, transcript variant X1
LOC102654949	uncharacterized LOC102654949, transcript variant X1
LOC552075	saccharopine dehydrogenase-like oxidoreductase
LOC726244	snRNA-activating protein complex subunit 3
LOC410072	26S proteasome non-ATPase regulatory subunit 14
LOC412937	probable elongator complex protein 2
LOC107964275	uncharacterized LOC107964275, transcript variant X2
LOC100577150	uncharacterized LOC100577150
LOC724745	transmembrane and TPR repeat-containing protein 1-like
GeneID_107965140	tRNA-Asp
LOC550921	ubiquitin-like protein 3
LOC408716	histone-lysine N-methyltransferase trithorax, transcript variant X1
LOC411068	kinesin 4A, transcript variant X2
GeneID_107965739	tRNA-Pro
LOC725469	kinesin 7A
LOC100578669	uncharacterized LOC100578669, transcript variant X1
LOC551257	microtubule-associated protein Jupiter, transcript variant X5
LOC726874	ribonuclease Z, mitochondrial, transcript variant X1
GeneID_107965552	tRNA-Thr
LOC726537	probable ATP-dependent RNA helicase DDX27
GeneID_727063	odorant receptor 130
LOC100577725	probable chitinase 10
LOC726129	UPF0547 protein C16orf87, transcript variant X1
LOC726592	proteoglycan 4
LOC102656548	nucleoside diphosphate kinase homolog 5, transcript variant X4
LOC100578675	uncharacterized LOC100578675, transcript variant X3
GeneID_100629078	microRNA 3759
LOC102654030	uncharacterized LOC102654030
LOC551116	histidine protein methyltransferase 1 homolog
LOC550724	3-hydroxy-3-methylglutaryl-coenzyme A reductase, transcript variant X3
LOC102654741	uncharacterized LOC102654741
GeneID_406083	tachykinin
LOC724626	uncharacterized LOC724626
LOC726175	nuclear protein 1
LOC724852	LHFPL tetraspan subfamily member 6 protein, transcript variant X2
LOC413973	probable tubulin polyglutamylase TTLL9
LOC100577759	uncharacterized LOC100577759, transcript variant X2
LOC412602	polyadenylate-binding protein 1
LOC413762	complement component 1 Q subcomponent-binding protein, mitochondrial
LOC410033	B-cell CLL/lymphoma 7 protein family member B, transcript variant X1
LOC113218960	uncharacterized LOC113218960
LOC102656452	uncharacterized LOC102656452
LOC724264	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
LOC412584	THO complex subunit 5 homolog
LOC551646	myb-like protein X
GeneID_406121	major royal jelly protein 3
LOC726251	uncharacterized LOC726251, transcript variant X2
LOC408694	plastin-2, transcript variant X2
LOC552151	dnaJ homolog subfamily C member 1
LOC552433	ATP-binding cassette sub-family B member 8, mitochondrial
LOC102653748	growth/differentiation factor 8
LOC113219211	protein sister of odd and bowel-like
GeneID_732512	microRNA 9a
LOC411554	RCC1-like G exchanging factor-like protein, transcript variant X2
LOC411336	uncharacterized LOC411336, transcript variant X1
LOC411711	integrator complex subunit 6
LOC413247	carboxylesterase clade I, member 1
LOC414012	sodium/hydrogen exchanger 8
LOC410612	solute carrier family 25 member 44, transcript variant X1
LOC113218574	mucin-2-like
LOC724995	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
LOC113219370	organic cation transporter protein-like
LOC102655622	facilitated trehalose transporter Tret1
LOC726506	kinesin 14, transcript variant X2
LOC100578249	uncharacterized LOC100578249, transcript variant X2
LOC726905	cilia- and flagella-associated protein 61-like
LOC552358	low-density lipoprotein receptor-related protein 2, transcript variant X1
LOC727223	uncharacterized LOC727223, transcript variant X1
LOC100576247	frizzled 2, transcript variant X4
LOC412679	rap1 GTPase-GDP dissociation stimulator 1-B, transcript variant X2
LOC410357	protein ST7 homolog
LOC413043	UDP-glucuronosyltransferase 1-3
LOC100577211	uncharacterized LOC100577211
LOC726666	mediator of RNA polymerase II transcription subunit 28
LOC100576349	growth arrest-specific protein 1, transcript variant X4
LOC102654662	uncharacterized LOC102654662
LOC107964899	uncharacterized LOC107964899
LOC409435	phosphatidylinositol-binding clathrin assembly protein LAP, transcript variant X10
LOC412764	MFS-type transporter SLC18B1
LOC100577128	uncharacterized LOC100577128
LOC113218598	uncharacterized LOC113218598, transcript variant X3
LOC113218631	uncharacterized LOC113218631
LOC413489	deoxyribonuclease-2-alpha
LOC726137	male-specific lethal 3 homolog, transcript variant X1
LOC107965873	uncharacterized LOC107965873
LOC113218625	uncharacterized LOC113218625
GeneID_100315667	microRNA 33
GeneID_409012	bruchpilot
LOC551685	uncharacterized LOC551685, transcript variant X2
LOC107965674	39S ribosomal protein L55, mitochondrial
LOC408702	SAGA-associated factor 29
LOC411406	zinc metalloproteinase nas-13, transcript variant X1
LOC107964423	uncharacterized LOC107964423
LOC100577899	DNA replication complex GINS protein SLD5
LOC113219083	histone-lysine N-methyltransferase SETMAR-like
LOC412205	monocyte to macrophage differentiation factor 2, transcript variant X1
LOC113219018	uncharacterized LOC113219018
LOC100576288	uncharacterized LOC100576288, transcript variant X20
LOC412117	mediator of RNA polymerase II transcription subunit 15, transcript variant X4
LOC113219283	ATP synthase mitochondrial F1 complex assembly factor 1
LOC725620	28S ribosomal protein S33, mitochondrial
LOC413877	nuclear cap-binding protein subunit 2
LOC725291	probable 28S ribosomal protein S16, mitochondrial
LOC100577044	histone-lysine N-methyltransferase SETMAR-like
LOC113219354	5.8S ribosomal RNA
LOC552514	HD domain-containing protein 2, transcript variant X2
LOC552633	stAR-related lipid transfer protein 7, mitochondrial, transcript variant X2
LOC102655592	coiled-coil domain-containing protein 103
LOC725012	zinc finger protein 25
LOC725178	chitooligosaccharidolytic beta-N-acetylglucosaminidase
LOC408565	zinc finger protein on ecdysone puffs, transcript variant X1
LOC725130	uncharacterized LOC725130, transcript variant X1
LOC726020	protein OSCP1
LOC100578309	uncharacterized LOC100578309, transcript variant X1
LOC413623	kelch-like protein diablo, transcript variant X5
LOC409659	protein LTV1 homolog
LOC412198	UDP-glucose:glycoprotein glucosyltransferase, transcript variant X2
LOC551353	translocon-associated protein subunit alpha
LOC408817	alanine--glyoxylate aminotransferase 2-like
GeneID_732509	microRNA 317
LOC413351	integrator complex subunit 7, transcript variant X1
LOC408559	retinal dehydrogenase 1
LOC102655329	14-3-3 protein zeta, transcript variant X2
LOC726987	uncharacterized LOC726987, transcript variant X2
LOC725480	innexin inx1
GeneID_100629030	microRNA 3793
LOC100578263	uncharacterized LOC100578263, transcript variant X2
LOC102656089	uncharacterized LOC102656089
LOC102656409	uncharacterized LOC102656409
LOC100577731	uncharacterized LOC100577731
LOC107965006	uncharacterized LOC107965006
LOC412453	BRISC complex subunit FAM175B, transcript variant X1
GeneID_726261	WRN exonuclease
LOC113218900	uncharacterized LOC113218900, transcript variant X1
LOC102655953	putative uncharacterized protein DDB_G0286901
LOC725268	S1 RNA-binding domain-containing protein 1, transcript variant X2
LOC725599	protein zer-1 homolog, transcript variant X2
LOC551978	dysbindin protein homolog
GeneID_552393	transmembrane protein 98
LOC725144	uncharacterized LOC725144, transcript variant X7
LOC410796	histone lysine demethylase PHF8, transcript variant X3
LOC409322	uncharacterized LOC409322, transcript variant X3
LOC100577185	uncharacterized LOC100577185, transcript variant X4
LOC551078	NADH-quinone oxidoreductase subunit I
LOC552182	probable E3 ubiquitin-protein ligase MGRN1, transcript variant X1
LOC113219361	uncharacterized LOC113219361
LOC725019	pro-resilin-like
